Column1,ID,weight,female,white,income,highered,interest,party_01,dem_strength_01,rep_strength_01,affect_dem_01,affect_rep_01,troll_01,know_01,cynicism_01,ideo_01,crt_01,age_01,part_online_01,age_grp2,troll,cynicism,know,dem_strength,rep_strength,affect_dem,affect_rep,partyid,ideology,crt,part_online,no_followers,dig_literacy,meantrust,Left,LeanLeft,Center,LeanRight,Right,Bakshy_StrongLeft,Bakshy_LeanLeft,Bakshy_Center,Bakshy_LeanRight,Bakshy_StrongRight,grinberg,grinberg_rep,grinberg_dem,grinberg_rep_black,grinberg_rep_red,grinberg_rep_orange,grinberg_dem_black,grinberg_dem_red,grinberg_dem_orange,Mixed,realnewscount,rep,dem,fakenewstot,black_rep,black_dem,black_no_pol,red_rep,red_dem,red_no_pol,orange_rep,orange_dem,orange_no_pol,fn_dummy,fn_dummy_dem,fn_dummy_rep,rn_dummy,realnews_dem,rn_dummy_dem,realnews_rep,rn_dummy_rep,rn_dummy_center,real_left,real_leanLeft,real_center,real_leanRight,real_right,log_center,log_lean_dem,log_lean_rep,log_extreme_dem,log_extreme_rep,log_fn_dem,log_fn_rep,log_rn_dem,log_rn_rep,log_real,log_fake,black_rep_dummy,black_dem_dummy,black_no_pol_dummy,red_rep_dummy,red_dem_dummy,red_no_pol_dummy,orange_rep_dummy,orange_dem_dummy,orange_no_pol_dummy,black_total,red_total,orange_total,fn_dummy_grinberg,fn_dummy_dem_grinberg,fn_dummy_rep_grinberg,black_rep_dummy_grinberg,black_dem_dummy_grinberg,red_rep_dummy_grinberg,red_dem_dummy_grinberg,orange_rep_dummy_grinberg,orange_dem_dummy_grinberg,black_total_grinberg,red_total_grinberg,orange_total_grinberg,realnewscount_Bakshy,rn_dummy_bakshy,realnews_dem_bakshy,rn_dummy_dem_bakshy,realnews_rep_bakshy,rn_dummy_rep_bakshy,rn_dummy_center_bakshy,real_left_bakshy,real_leanLeft_bakshy,real_center_bakshy,real_leanRight_bakshy,real_right_bakshy,log_center_bakshy,log_lean_dem_bakshy,log_lean_rep_bakshy,log_extreme_dem_bakshy,log_extreme_rep_bakshy,log_rn_dem_bakshy,log_rn_rep_bakshy,log_real_bakshy,fn_dummy_infowars,fn_dummy_repinfowars,realnews_rep_infowars,log_rep_fn_infowars,log_rep_rn,log_extreme_rep_infowars,log_fake_infowars
1,9623,1.17610434217,0,1,4,0,4,0.0,0.5,0.0,0.722222222222222,0.222222222222222,0.0833333333333333,1.0,0.825,0.142857142857143,1.0,0.153846153846154,0.0333333333333333,3,1.5,4.125,5,4.0,1.0,5.33333333333333,2.33333333333333,1,1,4,1.2,1,0.866666666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,6468,1.28926287737,0,0,9,1,4,1.0,0.0555555555555555,0.777777777777778,0.361111111111111,0.472222222222222,0.0,0.8,0.8,0.857142857142857,0.25,0.230769230769231,0.0666666666666667,4,1.0,4.0,4,1.33333333333333,5.66666666666667,3.16666666666667,3.83333333333333,7,6,1,1.4,1,1,NA,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1.09861228866811,0.693147180559945,0.0,0.0,0.0,0.0,0.0,0.693147180559945,0.0,1.38629436111989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,1.38629436111989,0.0,0.0,0.0,0.0,0.0,0.0,1.38629436111989,0,0,0,0.0,0.0,0.0,0.0
3,85884,1.03559364263,1,1,5,0,1,0.5,0.0,0.0,NA,NA,0.0,0.0,0.8,0.571428571428571,0.5,0.0,0.0,1,1.0,4.0,0,1.0,1.0,NA,NA,4,4,2,1.0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,43917,1.01409908246,0,1,7,0,4,1.0,0.111111111111111,0.388888888888889,0.305555555555556,0.611111111111111,0.0416666666666667,1.0,1.0,1.0,0.75,0.692307692307692,0.15,10,1.25,5.0,5,1.66666666666667,3.33333333333333,2.83333333333333,4.66666666666667,7,7,3,1.9,1,0.633333333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,3068,0.854365070542,1,1,6,0,2,0.166666666666667,0.0,0.0,0.583333333333333,0.472222222222222,0.0,0.4,0.75,0.571428571428571,0.5,0.538461538461538,0.0,8,1.0,3.75,2,1.0,1.0,4.5,3.83333333333333,2,4,2,1.0,1,0.8,0.56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.0,0.693147180559945,0.0,0.0,0.0,0.0,0.0,0.693147180559945,0.0,0.693147180559945,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0.693147180559945,0.0,0.0,0.0,0.0,0.0,0.0,0.693147180559945,0,0,0,0.0,0.0,0.0,0.0
6,57980,0.892621120892,1,1,5,0,3,1.0,0.611111111111111,0.5,0.5,0.555555555555555,0.875,0.2,0.725,0.714285714285714,0.5,0.153846153846154,0.366666666666667,3,6.25,3.625,1,4.66666666666667,4.0,4,4.33333333333333,7,5,2,3.2,1,0.6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,38065,1.16056656861,1,0,8,1,2,0.5,0.0,0.111111111111111,0,0.5,0.0,0.4,1.35,0.571428571428571,0.5,0.615384615384615,0.0666666666666667,9,1.0,6.75,2,1.0,1.66666666666667,1,4,4,4,2,1.4,1,NA,0.622916666666667,12,16,6,4,4,5,11,9,1,5,4,4,0,1,1,2,0,0,0,0,42,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,28,1,8,1,1,1,1,1,1,1,1.94591014905531,2.83321334405622,1.6094379124341,2.56494935746154,1.6094379124341,0.0,0.693147180559945,3.36729582998647,2.19722457733622,3.76120011569356,0.693147180559945,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,2,31,1,16,1,6,1,1,1,1,1,1,1,2.30258509299405,2.484906649788,0.693147180559945,1.79175946922805,1.79175946922805,2.83321334405622,1.94591014905531,3.46573590279973,1,1,8,0.693147180559945,2.19722457733622,1.6094379124341,0.693147180559945
8,29895,0.968213044065,0,1,13,1,4,0.333333333333333,0.222222222222222,0.0555555555555555,0.694444444444445,0,0.0,1.0,1.05,0.428571428571429,0.5,0.615384615384615,0.0666666666666667,9,1.0,5.25,5,2.33333333333333,1.33333333333333,5.16666666666667,1,3,3,2,1.4,1,0.8,0.782,4,6,6,0,0,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,1,1,1,1,0,0,1.94591014905531,1.94591014905531,0.0,1.6094379124341,0.0,0.0,0.0,2.39789527279837,0.0,2.83321334405622,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,11,1,0,0,1,1,1,1,0,0,1.38629436111989,2.07944154167984,0.0,1.6094379124341,0.0,2.484906649788,0.0,2.70805020110221,0,0,0,0.0,0.0,0.0,0.0
9,88168,0.966828979761,0,1,12,1,5,0.0,0.166666666666667,0.0,0.472222222222222,0.0833333333333333,0.0,1.0,0.975,0.142857142857143,0.5,0.230769230769231,0.05,4,1.0,4.875,5,2.0,1.0,3.83333333333333,1.5,1,1,2,1.3,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,57461,0.988556510142,0,1,10,1,4,0.833333333333333,0.0,0.5,0.5,0.638888888888889,0.0,1.0,1.25,0.857142857142857,0.5,0.846153846153846,0.216666666666667,12,1.0,6.25,5,1.0,4.0,4,4.83333333333333,6,6,2,2.3,1,NA,0.131346153846154,2,3,3,5,12,1,2,4,0,17,14,14,0,0,0,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,17,1,1,1,1,1,1,1,1.38629436111989,1.38629436111989,1.79175946922805,1.09861228866811,2.56494935746154,0.0,0.0,1.79175946922805,2.89037175789616,3.25809653802148,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,24,1,3,1,17,1,1,1,1,1,0,1,1.6094379124341,1.09861228866811,0.0,0.693147180559945,2.89037175789616,1.38629436111989,2.89037175789616,3.2188758248682,0,0,17,0.0,2.89037175789616,2.56494935746154,0.0
